round,loss,accuracy
0,1.3884713441133498,0.01
1,1.2674013781547546,0.5
2,1.4747373801469803,0.14
3,1.5078461062908173,0.14
4,1.4584509307146072,0.14
5,1.3260415834188461,0.5
6,1.3688436537981032,0.14
7,1.2879146879911423,0.5
8,1.458542658984661,0.14
9,1.3071729826927185,0.5
10,1.3715690302848815,0.14
11,1.4047074896097183,0.14
12,1.2878222197294236,0.5
13,1.3336513012647628,0.5
14,1.2438755747675896,0.5
15,1.2775367575883865,0.5
16,1.603427216410637,0.14
17,1.2597979855537416,0.5
18,1.2436394995450974,0.5
19,1.3935451966524124,0.35
20,1.393662671148777,0.35
21,1.2436555498838424,0.5
22,1.271169199347496,0.34359375
23,1.247547863125801,0.5
24,1.2433979675173759,0.5
25,1.2336405369639396,0.5
26,1.2434995844960213,0.5
27,1.235607960820198,0.5
28,1.2269211739301682,0.5
29,1.3585954785346985,0.14
30,1.39364777892828,0.35
