round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3656171959638597,0.5
2,1.3063402664661408,0.5
3,1.2757454383373261,0.51203125
4,1.2393673795461655,0.516875
5,1.2098357737064362,0.5171875
6,1.1903785726428031,0.52140625
7,1.1966252833604814,0.505625
8,1.188522973358631,0.52265625
9,1.1933612164855003,0.51765625
10,1.2063779795169831,0.5109375
11,1.1697958990931512,0.54234375
12,1.1683258751034737,0.5378125
13,1.164164607822895,0.545625
14,1.1857416793704032,0.5303125
15,1.2121000644564628,0.510625
16,1.1766787996888162,0.54078125
17,1.1759176269173621,0.54671875
18,1.1532481408119202,0.569375
19,1.1484193730354308,0.5709375
20,1.1369641497731209,0.58796875
21,1.131418361067772,0.59625
22,1.1305035385489464,0.59390625
23,1.1332469260692597,0.59125
24,1.1237868708372116,0.60390625
25,1.1358879467844962,0.58609375
26,1.1353362408280372,0.58734375
27,1.1647911584377288,0.5621875
28,1.1146929866075517,0.6134375
29,1.1398163115978241,0.5815625
30,1.1481147080659866,0.57640625
