round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3668512946367264,0.50125
2,1.2960333532094956,0.4825
3,1.2403070133924485,0.5103125
4,1.2130294513702393,0.50640625
5,1.2411222013831138,0.4803125
6,1.2254742932319642,0.48546875
7,1.151616734266281,0.565
8,1.1475877052545547,0.579375
9,1.131499298810959,0.590625
10,1.1300045549869537,0.600625
11,1.1117923131585121,0.61359375
12,1.1120708510279655,0.6171875
13,1.1084437564015388,0.6303125
14,1.0887316480278968,0.641875
15,1.0749191614985465,0.65578125
16,1.0798088985681533,0.64796875
17,1.0442725268006325,0.69828125
18,1.0399062126874923,0.69703125
19,1.0382744854688644,0.703125
20,1.0367980599403381,0.70265625
21,1.0121232450008393,0.729375
22,1.00553324341774,0.7365625
23,0.9986240154504776,0.74578125
24,0.985201687514782,0.76015625
25,0.9814871579408646,0.76140625
26,0.9775408858060837,0.76578125
27,0.9752053925395012,0.7665625
28,0.963840466439724,0.78078125
29,0.9601983150839806,0.785625
30,0.9474527585506439,0.80140625
