round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3040915679931642,0.5
2,1.4166584277153016,0.14
3,1.2856558048725129,0.520625
4,1.43925810277462,0.14
5,1.218224860727787,0.50078125
6,1.216230416595936,0.51875
7,1.311178625226021,0.45546875
8,1.2108138918876648,0.54546875
9,1.2944099658727646,0.35703125
10,1.1784781298041345,0.5428125
11,1.176472729742527,0.529375
12,1.2299744910001755,0.50640625
13,1.1631166064739227,0.593125
14,1.1649670362472535,0.58890625
15,1.1693616646528244,0.62765625
16,1.22935328155756,0.50078125
17,1.1498231709003448,0.55734375
18,1.1621415296196937,0.58875
19,1.1691148054599763,0.59890625
20,1.1236811763048171,0.62046875
21,1.124260075688362,0.60390625
22,1.1067478954792023,0.679375
23,1.0963844558596612,0.6703125
24,1.1245094135403633,0.59421875
25,1.1043248730897903,0.6471875
26,1.1197228103876113,0.65203125
27,1.1319425439834594,0.5921875
28,1.071356388926506,0.6840625
29,1.0788879585266113,0.67515625
30,1.0384061241149902,0.71875
