round,loss,accuracy
0,1.3884713441133498,0.01
1,1.372199536561966,0.46859375
2,1.3509414768218995,0.33875
3,1.2031877574324608,0.51515625
4,1.2001503536105156,0.5221875
5,1.174002527296543,0.54390625
6,1.143481967151165,0.578125
7,1.1163665416836739,0.60984375
8,1.1056943073868752,0.6259375
9,1.0853138011693955,0.650625
10,1.0714939498901368,0.66265625
11,1.057009362578392,0.6825
12,1.0385694476962088,0.7015625
13,1.0252059790492059,0.72109375
14,1.016727284193039,0.72890625
15,0.9906207972764969,0.75640625
16,0.9800043907761574,0.766875
17,0.9876983374357223,0.75421875
18,0.9681217008829117,0.77734375
19,0.9601197323203087,0.785
20,0.9686522787809372,0.77453125
21,0.9601838636398315,0.7834375
22,0.9372753423452377,0.80671875
23,0.934740219116211,0.80828125
24,0.9130132123827934,0.8353125
25,0.9231684765219689,0.82
26,0.9058653834462166,0.84078125
27,0.9043313616514206,0.8390625
28,0.8985354593396186,0.84546875
29,0.8954834687709808,0.84734375
30,0.9167254132032394,0.82390625
