round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3737144696712493,0.3590625
2,1.3056525325775146,0.48515625
3,1.2052969229221344,0.54765625
4,1.1721834915876388,0.561875
5,1.1531162005662918,0.57625
6,1.124875975549221,0.61140625
7,1.1450804150104523,0.56828125
8,1.1085467916727065,0.62375
9,1.085080943405628,0.6584375
10,1.0785542804002761,0.6659375
11,1.0597623550891877,0.69
12,1.029932950437069,0.71546875
13,1.0164639762043952,0.736875
14,1.0196804732084275,0.7328125
15,1.009395100772381,0.74015625
16,0.9946874463558197,0.75203125
17,0.9911758732795716,0.76078125
18,0.9986366233229638,0.74125
19,0.9710193923115731,0.77359375
20,0.9762179300189018,0.76859375
21,0.9588794016838074,0.7871875
22,0.9584002524614335,0.7875
23,0.9751896318793297,0.76796875
24,0.9524135872721672,0.79484375
25,0.9517422616481781,0.79390625
26,0.9481686890125275,0.79578125
27,0.954125490784645,0.78828125
28,0.9356422466039658,0.81015625
29,0.9591218486428261,0.78125
30,0.9397252681851387,0.803125
