round,loss,accuracy
0,1.3884713441133498,0.01
1,1.4195228618383409,0.14
2,1.3610145717859268,0.14
3,1.36900667488575,0.14
4,1.3510967081785201,0.21375
5,1.289803587794304,0.40359375
6,1.3247740191221238,0.36046875
7,1.2809001076221467,0.4846875
8,1.2635118478536607,0.57640625
9,1.222171769142151,0.54328125
10,1.2299916034936904,0.58140625
11,1.2439279982447624,0.55484375
12,1.1789430940151215,0.626875
13,1.1759648564457894,0.6265625
14,1.1712401363253593,0.62015625
15,1.145456182360649,0.64265625
16,1.166015137732029,0.55125
17,1.110636690557003,0.64265625
18,1.1235767939686776,0.61390625
19,1.1418256935477258,0.574375
20,1.117634426355362,0.62578125
21,1.1498829054832458,0.5746875
22,1.112300409078598,0.63046875
23,1.0835497164726258,0.6659375
24,1.1087882220745087,0.62890625
25,1.062919061779976,0.68671875
26,1.15628532320261,0.55859375
27,1.0844509193301202,0.665625
28,1.1004418829083442,0.64234375
29,1.1830267933011056,0.53125
30,1.115533287525177,0.62515625
