round,loss,accuracy
0,1.3884713441133498,0.01
1,1.4622779220342637,0.14
2,1.4014945179224014,0.14
3,1.3546077746152878,0.22625
4,1.3230982875823976,0.440625
5,1.2283199554681778,0.55359375
6,1.276826315522194,0.41671875
7,1.2433267736434936,0.48984375
8,1.222546892464161,0.55109375
9,1.17375716984272,0.54703125
10,1.17537410736084,0.57140625
11,1.1882185798883438,0.5359375
12,1.1228041818737984,0.61375
13,1.1271874836087228,0.6271875
14,1.1183610364794732,0.63984375
15,1.0940145045518874,0.64890625
16,1.1400874075293541,0.58328125
17,1.067280018031597,0.675
18,1.0892709249258041,0.63515625
19,1.1224875032901764,0.5978125
20,1.0932298785448074,0.64921875
21,1.084165906906128,0.665625
22,1.0990069052577018,0.629375
23,1.0563918405771255,0.68875
24,1.11631079941988,0.61171875
25,1.034260799586773,0.7071875
26,1.1225235003232956,0.60671875
27,1.03828773021698,0.70640625
28,1.0615888860821725,0.67734375
29,1.1346052074432373,0.5934375
30,1.068725098967552,0.6678125
