round,loss,accuracy
0,1.3950495368242264,0.01
1,1.28380994617939,0.49078125
2,1.0604378628730773,0.54375
3,0.9145904806256294,0.57046875
4,0.8510179235786199,0.58546875
5,0.8248767927289009,0.59890625
6,0.7614384267223068,0.63375
7,0.7143735194252804,0.66125
8,0.7351662881299853,0.65578125
9,0.65162341237301,0.68609375
10,0.6409646342787891,0.70265625
11,0.5709656304314558,0.73875
12,0.517365516710488,0.77203125
13,0.48000920892351134,0.795
14,0.5035534627854941,0.79078125
15,0.5424190136458492,0.786875
16,0.466604057539007,0.81609375
17,0.4930581391105079,0.808125
18,0.48960945140599504,0.8021875
19,0.3609186373662123,0.85296875
20,0.4297997564681282,0.83
21,0.3776420378258263,0.85
22,0.4172965194949211,0.84984375
23,0.37075467450751604,0.85859375
24,0.35692826283970136,0.8634375
25,0.33171831726916934,0.87828125
26,0.43623229586402884,0.844375
27,0.33708947609867207,0.87328125
28,0.30654840740473444,0.8903125
29,0.3996008443328901,0.875625
30,0.2807837558511778,0.89546875
