round,loss,accuracy
0,1.3884713441133498,0.01
1,1.2720917040109634,0.5
2,1.45947514295578,0.14
3,1.2388691970705985,0.5
4,1.2674476197361946,0.49875
5,1.34452620357275,0.36296875
6,1.228215089738369,0.49921875
7,1.2115129077434539,0.50203125
8,1.2631036573648453,0.47828125
9,1.303262159228325,0.3578125
10,1.193930414915085,0.51453125
11,1.1674851164221764,0.57671875
12,1.233974913954735,0.5184375
13,1.1396311065554618,0.5915625
14,1.1678463435173034,0.5871875
15,1.1607247325778007,0.5653125
16,1.161822308897972,0.578125
17,1.1430065441131592,0.57703125
18,1.109918231666088,0.63859375
19,1.1471171963214875,0.5909375
20,1.114200458228588,0.62609375
21,1.1045784187316894,0.6371875
22,1.1052976337075233,0.63484375
23,1.083767385184765,0.6675
24,1.1004294231534004,0.63609375
25,1.064164929986,0.6853125
26,1.1032880505919456,0.63234375
27,1.0707911682128906,0.6621875
28,1.0322934618592263,0.71109375
29,1.0618334075808524,0.675
30,1.029233668744564,0.705
