round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3666082710027694,0.5028125
2,1.2812987172603607,0.51109375
3,1.2581293946504593,0.4984375
4,1.1904475373029708,0.52515625
5,1.1820220845937728,0.54046875
6,1.168023423552513,0.5490625
7,1.1616613757610321,0.55609375
8,1.1527956494688987,0.55984375
9,1.1439816826581954,0.57671875
10,1.1429198440909385,0.57765625
11,1.1325613197684288,0.5928125
12,1.121556207537651,0.60625
13,1.119852155148983,0.6075
14,1.1136657145619393,0.619375
15,1.1062883388996125,0.628125
16,1.0899555718898772,0.64578125
17,1.0772034049034118,0.65984375
18,1.0718939635157585,0.6703125
19,1.0621390122175216,0.67890625
20,1.056143469810486,0.69015625
21,1.0446834975481034,0.700625
22,1.0505899953842164,0.68890625
23,1.0341748678684235,0.706875
24,1.017651459276676,0.72828125
25,1.024214898943901,0.71890625
26,1.0227600356936455,0.71890625
27,1.0210288724303245,0.72046875
28,1.0029722455143928,0.73953125
29,0.9950096738338471,0.75234375
30,1.0011857730150222,0.74734375
