round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3855672171711921,0.35
2,1.243083882033825,0.5
3,1.2445502188801765,0.5
4,1.4645365718007088,0.14
5,1.3774254176020622,0.35
6,1.4296522718667983,0.14
7,1.3848484581708909,0.35
8,1.4710657733678818,0.14
9,1.3852314841747284,0.35
10,1.4868674510717392,0.14
11,1.4135676109790802,0.14
12,1.5051804369688033,0.14
13,1.3765084573626518,0.35
14,1.327562518119812,0.34734375
15,1.3699553981423378,0.35
16,1.554774650633335,0.14
17,1.3606623327732086,0.35
18,1.383181178867817,0.35703125
19,1.486198462843895,0.14
20,1.5684048208594321,0.143125
21,1.3808460929989814,0.35046875
22,1.376184736788273,0.355
23,1.2395585444569588,0.5
24,1.3904896631836892,0.35
25,1.3911325618624688,0.35
26,1.373499737381935,0.35
27,1.3250565776228904,0.35
28,1.3661188220977782,0.35
29,1.306332082748413,0.37890625
30,1.3904551786184312,0.365
