round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3482219803333282,0.5565625
2,1.3745259565114976,0.26671875
3,1.4189684200286865,0.2053125
4,1.2145887273550033,0.50109375
5,1.214647305905819,0.4940625
6,1.2210212376713754,0.505
7,1.1791623944044114,0.53234375
8,1.242536309659481,0.45140625
9,1.165788241326809,0.54796875
10,1.1447001424431802,0.58515625
11,1.1656669199466705,0.54890625
12,1.158893744945526,0.5746875
13,1.1153892302513122,0.61671875
14,1.117763496339321,0.60515625
15,1.1114929857850075,0.62765625
16,1.1183191591501236,0.6178125
17,1.0818580090999603,0.659375
18,1.100310204923153,0.64046875
19,1.1163378795981407,0.62
20,1.0762566024065017,0.6684375
21,1.059052524268627,0.6853125
22,1.1033083522319793,0.6215625
23,1.0917225986719132,0.6428125
24,1.030018797814846,0.71203125
25,1.0664536383748056,0.67453125
26,1.0346570700407027,0.7075
27,1.148363530933857,0.5703125
28,1.0602810788154602,0.67359375
29,1.0194080173969269,0.7221875
30,1.004390995502472,0.738125
