round,loss,accuracy
0,1.3884713441133498,0.01
1,1.5842798200249673,0.14
2,1.2417347994446755,0.5
3,1.2425816765427589,0.5
4,1.465955303609371,0.14
5,1.3935151386260987,0.35
6,1.5389276039600372,0.14
7,1.393629320859909,0.35
8,1.5483349150419234,0.1496875
9,1.3518489441275596,0.3565625
10,1.6036543023586274,0.14
11,1.278135926425457,0.47421875
12,1.2379141515493393,0.48484375
13,1.3395769426226616,0.3765625
14,1.2836753836274146,0.4109375
15,1.5674767357110977,0.15171875
16,1.3766445830464362,0.32265625
17,1.3517162042856217,0.384375
18,1.2688195422291755,0.43
19,1.3295671564340592,0.36171875
20,1.4815327689051627,0.24
21,1.2801821947097778,0.41484375
22,1.3262790974974632,0.4025
23,1.144508112370968,0.57125
24,1.3166680657863616,0.4153125
25,1.2966404885053635,0.4340625
26,1.1298982301354408,0.61109375
27,1.4820117408037186,0.24515625
28,1.2320906069874764,0.49390625
29,1.1067211976647378,0.6303125
30,1.1353192237019538,0.5953125
