round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3472409600019455,0.56578125
2,1.386589881181717,0.2671875
3,1.399252780675888,0.25671875
4,1.2218047446012497,0.49734375
5,1.2214715206623077,0.4990625
6,1.2075521993637084,0.50734375
7,1.172118529379368,0.536875
8,1.2448532587289811,0.46796875
9,1.1632103553414346,0.5559375
10,1.1374234890937804,0.5915625
11,1.155952694416046,0.571875
12,1.161847006380558,0.56671875
13,1.1167472234368325,0.6159375
14,1.1385151714086532,0.59359375
15,1.1079280918836594,0.6296875
16,1.1345286986231804,0.59640625
17,1.0921734464168549,0.649375
18,1.1394655817747117,0.59328125
19,1.115364451110363,0.614375
20,1.093095233142376,0.646875
21,1.0726431214809418,0.665
22,1.05907033264637,0.6871875
23,1.086152583360672,0.6490625
24,1.0327887359261512,0.7125
25,1.0255781492590905,0.716875
26,1.0341692441701889,0.71234375
27,1.0641172152757645,0.6746875
28,1.0735671824216844,0.664375
29,1.0230358493328096,0.7240625
30,1.0002843356132507,0.743125
